"code_station";"date_obs_elab";"resultat_obs_elab"
"J930061101";"2002-08-08";11220
"J930061101";"2002-08-09";13959
"J930061101";"2002-08-10";9974
"J930061101";"2002-08-11";9294
"J930061101";"2002-08-12";10019
"J930061101";"2002-08-13";8826
"J930061101";"2002-08-14";16633
"J930061101";"2002-08-15";10902
"J930061101";"2002-08-16";4855
"J930061101";"2002-08-17";9281
"J930061101";"2002-08-18";5840
"J930061101";"2002-08-19";5759
"J930061101";"2002-08-20";4309
"J930061101";"2002-08-21";7481
"J930061101";"2002-08-22";9827
"J930061101";"2002-08-23";8114
"J930061101";"2002-08-24";6970
"J930061101";"2002-08-25";7800
"J930061101";"2002-08-26";6452
"J930061101";"2002-08-27";8059
"J930061101";"2002-08-28";10016
"J930061101";"2002-08-29";7059
"J930061101";"2002-08-30";6535
"J930061101";"2002-08-31";8622
"J930061101";"2002-09-01";14027
"J930061101";"2002-09-02";11850
"J930061101";"2002-09-03";8928
"J930061101";"2002-09-04";4901
"J930061101";"2002-09-05";5226
"J930061101";"2002-09-06";5030
"J930061101";"2002-09-07";8318
"J930061101";"2002-09-08";17924
"J930061101";"2002-09-09";17116
"J930061101";"2002-09-10";20690
"J930061101";"2002-09-11";21638
"J930061101";"2002-09-12";16247
"J930061101";"2002-09-13";15434
"J930061101";"2002-09-14";14156
"J930061101";"2002-09-15";12425
"J930061101";"2002-09-16";12909
"J930061101";"2002-09-17";12069
"J930061101";"2002-09-18";11306
"J930061101";"2002-09-19";9838
"J930061101";"2002-09-20";12704
"J930061101";"2002-09-21";16213
"J930061101";"2002-09-22";9314
"J930061101";"2002-09-23";10517
"J930061101";"2002-09-24";7910
"J930061101";"2002-09-25";8595
"J930061101";"2002-09-26";4484
"J930061101";"2002-09-27";9588
"J930061101";"2002-09-28";10915
"J930061101";"2002-09-29";9097
"J930061101";"2002-09-30";8000
"J930061101";"2002-10-01";14187
"J930061101";"2002-10-02";14554
"J930061101";"2002-10-03";10250
"J930061101";"2002-10-04";13427
"J930061101";"2002-10-05";12566
"J930061101";"2002-10-06";8388
"J930061101";"2002-10-07";8567
"J930061101";"2002-10-08";10007
"J930061101";"2002-10-09";11137
"J930061101";"2002-10-10";20345
"J930061101";"2002-10-11";14906
"J930061101";"2002-10-12";12284
"J930061101";"2002-10-13";11028
"J930061101";"2002-10-14";11835
"J930061101";"2002-10-15";9203
"J930061101";"2002-10-16";17733
"J930061101";"2002-10-26";88911
"J930061101";"2002-10-27";85543
"J930061101";"2002-10-28";70381
"J930061101";"2002-10-29";53244
"J930061101";"2002-10-30";43623
"J930061101";"2002-10-31";37488
"J930061101";"2002-11-01";24141
"J930061101";"2002-11-02";28406
"J930061101";"2002-11-03";86485
"J930061101";"2002-11-04";112170
"J930061101";"2002-11-05";93407
"J930061101";"2002-11-06";74875
"J930061101";"2002-11-07";108773
"J930061101";"2002-11-08";135843
"J930061101";"2002-11-09";162477
