"CdStationMesureEauxSurface";"DatePrel";"RsAna"
"04211950";"06/01/2010 09:35";67
"04211950";"01/02/2010 09:35";53
"04211950";"04/03/2010 09:20";44
"04211950";"07/04/2010 09:00";42
"04211950";"04/05/2010 09:05";23
"04211950";"08/06/2010 09:25";3,8
"04211950";"06/07/2010 09:10";1,5
"04211950";"03/08/2010 08:55";1
"04211950";"06/09/2010 09:45";1
"04211950";"04/10/2010 09:25";4,7
"04211950";"02/11/2010 09:20";1,1
"04211950";"08/12/2010 09:10";81
"04211950";"06/01/2011 09:40";54
"04211950";"09/02/2011 09:05";47
"04211950";"08/03/2011 09:05";49
"04211950";"05/04/2011 09:05";23
"04211950";"04/05/2011 08:40";4,4
"04211950";"08/06/2011 09:05";1,4
"04211950";"05/07/2011 09:40";1
"04211950";"04/08/2011 09:25";1
"04211950";"06/09/2011 08:55";3,3
"04211950";"04/10/2011 10:30";1
"04211950";"08/11/2011 10:07";1
"04211950";"05/12/2011 09:05";1
"04211950";"11/01/2012 09:05";78
"04211950";"08/02/2012 09:05";52
"04211950";"05/03/2012 09:10";45
"04211950";"03/04/2012 09:05";23
"04211950";"09/05/2012 08:55";38
"04211950";"04/06/2012 14:25";21
"04211950";"04/07/2012 09:00";9,6
"04211950";"09/08/2012 10:25";1,8
"04211950";"05/09/2012 08:00";0,5
"04211950";"09/10/2012 09:00";48
"04211950";"07/11/2012 14:05";53
"04211950";"05/12/2012 09:45";60
"04211950";"07/01/2013 09:00";46
"04211950";"04/02/2013 09:00";38
"04211950";"04/03/2013 09:25";23
"04211950";"11/04/2013 09:15";30
"04211950";"14/05/2013 09:15";24
"04211950";"11/06/2013 09:20";13
"04211950";"09/07/2013 09:20";7
"04211950";"07/08/2013 09:05";3,1
"04211950";"09/10/2013 09:20";0,93
"04211950";"06/11/2013 09:55";72
"04211950";"04/12/2013 09:40";51
"04211950";"06/01/2014 10:45";33
"04211950";"03/02/2014 09:45";35
"04211950";"05/03/2014 14:25";23
"04211950";"07/04/2014 09:45";18
"04211950";"14/05/2014 09:05";13
"04211950";"12/06/2014 09:25";6,3
"04211950";"10/07/2014 14:00";1,8
"04211950";"12/08/2014 09:35";9,5
"04211950";"03/09/2014 09:25";27
"04211950";"02/10/2014 09:40";17
"04211950";"06/11/2014 08:55";52
"04211950";"03/12/2014 09:40";41
"04211950";"15/01/2015 10:15";33
"04211950";"10/02/2015 09:10";42
"04211950";"11/03/2015 09:40";35
"04211950";"07/04/2015 09:50";22
"04211950";"12/05/2015 09:15";29
"04211950";"10/06/2015 09:40";13
"04211950";"02/07/2015 10:20";1,3
"04211950";"07/10/2015 10:20";1,4
"04211950";"04/11/2015 10:20";0,5
"04211950";"10/12/2015 10:35";11
"04211950";"14/01/2016 10:10";63
"04211950";"04/02/2016 11:20";48
