"CdStationMesureEauxSurface";"CdSupport";"CdFractionAnalysee";"CdPrelevement";"DatePrel";"HeurePrel";"DateAna";"HeureAna";"CdParametre";"RsAna";"CdUniteMesure";"CdRqAna";"CdInsituAna";"ProfondeurPrel";"CdDifficulteAna";"LdAna";"LqAna";"LsAna";"IncertAna";"CdMetFractionnement";"CdMethode";"RdtExtraction";"CdMethodeExtraction";"CdAccreAna";"AgreAna";"CdStatutAna";"CdQualAna";"CommentairesAna";"ComResultatAna";"CdRdd";"CdProducteur";"CdPreleveur";"CdLaboratoire";"source"
4216000;3;3;"20181211155341-PC-29778";"1988-04-05";"09:00:00";"1988-04-05";"09:00:00";1340;26,8;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155341-PC-29779";"1988-07-07";"11:00:00";"1988-07-07";"11:00:00";1340;22,3;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155342-PC-29780";"1984-12-09";"09:30:00";"1984-12-09";"09:30:00";1340;22,6662;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155342-PC-29781";"1981-07-01";"11:00:00";"1981-07-01";"11:00:00";1340;21,9579;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155342-PC-29782";"1982-09-01";"10:15:00";"1982-09-01";"10:15:00";1340;6,99466;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155343-PC-29783";"1971-02-03";"15:30:00";"1971-02-03";"15:30:00";1340;2,99708;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";19350095600019;19350095600019;19350095600019;NA
4216000;3;3;"20181211155343-PC-29784";"1982-05-03";"10:30:00";"1982-05-03";"10:30:00";1340;20,984;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155344-PC-29785";"1983-03-04";"09:00:00";"1983-03-04";"09:00:00";1340;15,9815;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155344-PC-29786";"1989-12-21";"10:15:00";"1989-12-21";"10:15:00";1340;26,5;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
4216000;3;3;"20181211155346-PC-29791";"1983-05-03";"13:30:00";"1983-05-03";"13:30:00";1340;14,9633;173;1;2;NA;0;NA;NA;NA;-2147483648;0;0;NA;NA;0;FALSE;3;1;NA;NA;"0000000001";22440002802595;22440002802595;22440002802595;NA
